stage_surcharge_m,dem_elevation_m,dem_slope_deg,hand_m,dist_river_km,rain_24h_mm,target_depth_m
2.12,3.62,0.84,2.21,9.03,1.66,0.0
2.91,22.21,0.61,13.89,14.64,242.69,0.0
1.8,10.29,1.65,10.91,2.63,89.58,0.0
0.87,25.08,1.3,0.89,5.0,202.7,1.52
2.43,38.7,2.83,8.33,8.85,6.44,0.06
3.23,41.19,1.77,5.28,2.65,20.28,2.72
2.94,19.12,2.14,12.27,10.69,35.44,0.03
0.69,36.91,4.72,5.29,6.11,36.02,0.01
1.11,14.06,0.95,9.73,14.25,189.74,0.0
1.81,2.27,2.06,2.65,9.49,39.88,0.0
2.0,38.78,1.43,8.47,5.51,16.2,0.0
0.68,7.13,2.84,4.55,10.82,7.54,0.01
0.81,2.76,3.73,2.64,12.6,5.23,0.03
2.66,17.21,4.12,9.37,12.03,160.59,0.01
2.56,18.31,2.67,9.65,4.02,46.26,0.14
2.94,5.32,4.3,14.75,6.31,149.79,0.0
3.27,37.01,3.97,10.1,6.84,119.41,1.09
1.08,19.44,0.95,7.83,5.89,14.93,0.0
3.01,23.07,1.38,13.71,4.73,13.07,0.05
2.33,13.38,3.42,12.46,11.32,93.67,0.03
3.35,23.99,4.88,8.32,0.28,143.58,1.62
0.95,34.97,2.01,7.77,4.47,34.75,0.04
0.94,40.97,1.3,14.14,2.21,6.86,0.05
2.47,43.73,4.37,9.33,2.02,1.2,0.06
3.25,20.35,1.16,10.76,4.23,31.17,0.96
2.89,44.57,3.55,1.48,11.46,0.69,0.01
2.54,14.68,0.36,10.83,14.54,18.66,0.03
1.36,2.3,0.29,4.12,7.77,38.25,0.72
2.51,35.01,2.37,1.91,5.15,14.8,2.71
2.8,9.67,3.35,12.78,12.45,7.14,0.0
2.64,4.26,0.88,10.43,1.1,274.68,1.28
2.37,41.73,3.87,6.23,1.49,65.88,0.91
0.16,36.05,0.82,6.58,5.25,189.56,0.0
2.31,6.41,2.76,3.12,6.78,41.31,1.95
1.67,35.41,1.68,0.34,11.99,76.61,0.0
3.37,38.29,3.81,5.37,13.89,22.64,0.07
2.13,40.93,4.06,2.4,8.02,109.43,0.05
2.13,25.38,0.52,6.44,7.49,9.14,0.87
3.48,32.25,1.12,12.54,3.27,0.23,0.6
0.33,34.78,4.48,1.9,6.82,231.86,0.0
0.97,31.61,2.19,1.56,13.86,58.68,0.0
2.3,29.81,2.49,13.55,5.95,192.25,0.0
1.1,25.55,1.01,11.23,3.24,47.8,0.01
1.21,22.61,4.98,0.99,5.13,27.64,0.65
3.12,44.83,4.63,1.38,7.77,58.65,3.46
2.03,16.52,0.21,10.34,9.02,116.78,0.01
0.36,5.8,2.84,5.68,6.54,54.5,0.05
1.09,34.9,4.39,10.92,11.4,235.2,0.01
0.27,11.19,2.27,6.19,8.81,2.88,0.0
1.95,24.91,2.3,14.52,10.01,130.81,0.0
0.61,6.12,2.02,10.48,12.96,36.92,0.05
3.0,28.63,0.34,0.89,13.0,22.69,0.01
2.02,42.59,3.99,5.09,3.13,50.11,0.65
0.21,33.08,2.39,8.54,9.39,82.39,0.06
1.05,11.22,2.75,2.3,10.78,16.7,0.03
2.16,43.76,1.43,0.24,2.27,23.71,2.9
1.17,15.2,3.96,1.37,12.66,58.57,0.03
1.8,20.77,4.01,7.96,2.79,50.12,0.05
3.18,23.42,2.85,9.56,12.01,39.42,0.0
1.23,44.6,4.54,1.57,2.51,15.49,0.33
1.18,4.96,0.76,10.04,11.15,0.37,0.0
2.87,31.96,3.98,9.33,2.31,340.36,1.6
1.12,17.56,2.88,14.11,5.74,225.05,0.05
0.27,5.37,1.31,12.64,2.24,58.96,0.0
0.63,42.21,0.84,14.16,4.13,423.14,0.03
3.32,27.36,1.64,14.5,14.77,78.74,0.0
3.27,34.4,4.31,6.72,1.7,5.86,1.72
0.79,12.34,3.98,7.42,6.16,14.24,0.0
1.94,34.75,3.3,4.37,10.19,212.32,0.1
0.48,37.62,0.63,7.72,1.51,106.9,0.0
2.36,20.53,4.78,2.43,1.72,136.03,2.28
0.65,26.59,1.67,10.14,2.23,201.7,0.0
0.17,43.79,3.11,0.57,9.71,41.49,0.0
2.89,38.41,4.05,3.69,13.65,3.54,0.0
1.14,21.13,0.84,3.28,12.41,20.81,0.12
0.38,30.58,3.33,14.08,14.75,6.83,0.0
2.92,35.72,0.36,2.34,8.71,15.83,0.0
2.67,3.05,0.69,13.38,14.43,48.22,0.0
2.39,27.3,3.67,2.04,4.64,14.39,2.14
3.19,44.33,0.94,9.83,6.38,13.38,1.26
1.71,42.73,2.33,4.93,6.0,37.86,0.56
0.45,37.79,1.39,4.88,0.81,42.32,0.05
0.21,6.57,2.22,14.97,12.46,41.73,0.0
1.11,44.74,0.57,3.55,0.47,68.01,0.65
0.3,28.21,3.82,3.2,10.98,102.66,0.05
1.87,11.59,0.58,8.92,6.17,251.82,0.57
0.05,30.99,4.22,11.16,0.19,10.11,0.04
1.55,38.83,3.38,14.74,4.42,10.15,0.01
0.62,6.83,2.2,10.58,5.26,131.04,0.0
1.29,41.41,4.36,8.52,14.47,83.55,0.0
2.36,41.57,1.09,6.26,9.95,145.74,0.0
1.23,2.58,1.47,9.01,8.2,17.94,0.0
1.19,40.71,0.86,9.09,1.99,170.3,0.05
3.47,42.71,2.03,3.42,5.93,182.64,4.25
2.52,3.62,4.94,10.13,0.63,64.63,0.0
1.8,14.65,0.97,3.23,11.45,11.25,0.0
2.03,18.04,4.19,7.45,2.53,229.24,0.47
2.17,17.0,3.33,4.05,8.96,153.69,0.0
0.09,34.64,0.28,4.83,10.52,102.73,0.0
0.28,17.4,4.74,9.29,5.56,3.7,0.03
2.27,43.13,4.86,1.15,9.53,106.46,0.02
1.28,44.78,4.64,0.38,11.49,14.73,0.01
0.19,15.62,2.61,2.13,2.84,24.14,0.03
1.04,23.88,1.26,2.7,9.05,87.78,0.12
0.46,25.98,2.08,3.13,11.03,35.8,0.01
3.21,26.91,3.15,11.65,5.42,123.0,0.65
0.71,18.09,2.02,6.81,2.52,113.66,0.05
0.5,9.14,3.6,7.16,4.36,13.86,0.09
2.19,4.35,4.02,9.74,14.0,116.27,0.03
1.83,6.57,1.21,10.99,5.43,308.93,0.0
2.02,40.76,2.14,0.25,1.7,20.13,2.6
1.53,14.06,4.8,12.88,1.33,96.62,0.01
1.64,5.3,1.4,14.83,2.79,28.23,0.04
2.73,28.81,1.86,2.0,2.0,40.57,3.13
0.77,5.24,0.37,9.84,7.48,38.17,0.06
1.39,5.01,1.8,0.24,5.28,40.28,1.8
3.35,28.73,1.98,0.93,12.64,3.27,0.04
0.66,27.43,0.68,4.42,13.23,325.89,0.02
1.03,3.78,0.21,12.73,7.15,84.95,0.01
0.67,21.8,2.96,9.86,13.34,72.69,0.01
0.07,20.74,1.65,6.8,6.81,56.86,0.03
0.94,25.51,0.29,6.69,9.67,52.88,0.1
0.16,33.73,4.33,7.1,2.52,54.64,0.0
0.54,14.16,3.01,4.8,0.88,49.16,0.03
1.27,20.61,1.02,13.19,2.49,50.99,0.0
0.07,36.09,4.35,8.6,3.85,27.17,0.0
2.64,41.67,1.42,7.36,11.29,13.06,0.0
2.78,40.33,1.29,7.08,2.69,52.0,1.68
1.44,22.54,4.49,14.05,2.05,169.06,0.0
3.45,24.4,1.06,10.91,13.92,11.39,0.0
2.38,24.75,4.42,2.34,10.36,2.48,0.0
2.6,39.35,4.05,6.67,7.15,32.14,0.87
0.67,38.12,1.69,4.47,1.52,378.03,0.53
2.93,15.4,0.37,14.81,12.79,177.71,0.0
3.31,9.0,0.6,6.35,1.71,67.19,2.92
0.83,18.3,0.73,1.2,9.2,297.45,0.0
2.4,14.4,4.48,6.29,10.05,67.56,0.01
2.61,42.88,2.14,4.96,6.06,385.14,3.3
1.07,13.43,0.36,9.07,13.68,41.22,0.05
1.66,9.79,2.87,3.55,0.86,31.13,0.8
0.34,40.68,1.2,0.73,12.29,108.24,0.04
0.61,5.72,1.33,1.62,8.35,50.68,0.0
0.22,13.19,0.97,4.39,9.21,68.2,0.1
1.96,20.88,3.86,5.36,14.8,28.78,0.0
2.19,27.59,0.2,12.55,8.78,64.44,0.0
3.21,16.09,2.31,4.2,11.98,20.49,0.0
1.9,23.34,0.62,0.67,2.39,3.79,2.47
0.91,10.55,2.85,11.75,12.16,280.62,0.0
0.21,26.69,1.86,13.06,11.44,165.93,0.04
3.1,19.54,0.34,7.49,14.52,426.58,0.0
1.68,38.52,2.41,4.42,14.04,124.22,0.0
2.58,19.88,2.94,11.63,3.29,88.53,0.0
0.05,21.08,1.39,0.33,7.03,75.8,0.01
1.71,27.46,3.87,13.88,13.68,10.24,0.0
1.14,7.3,1.98,13.01,9.65,25.5,0.03
0.11,8.74,3.8,8.26,7.01,38.76,0.03
2.71,35.98,2.98,4.31,1.72,142.6,2.46
1.8,13.76,4.37,0.69,5.34,22.67,1.68
1.17,31.44,2.83,15.0,10.01,271.36,0.03
2.82,6.19,1.09,11.48,11.68,50.23,0.05
1.56,37.34,4.15,5.21,6.76,129.38,0.14
0.01,44.49,3.96,0.49,0.93,11.86,0.0
3.31,18.07,4.87,9.66,9.53,23.82,0.08
0.89,23.74,0.65,14.81,13.83,344.12,0.0
2.91,21.04,3.04,10.66,7.5,21.1,0.08
2.86,40.45,2.56,1.44,13.93,32.4,0.03
0.57,2.43,3.42,6.15,5.38,14.0,0.0
1.66,30.1,4.9,1.82,13.31,16.67,0.0
0.14,30.05,2.75,13.7,11.82,28.61,0.04
1.24,18.44,3.49,5.09,14.43,74.49,0.0
2.56,11.43,1.87,11.05,11.89,50.63,0.0
0.83,12.31,1.64,1.45,4.89,58.54,0.59
0.41,36.42,1.81,2.1,13.52,14.18,0.0
1.77,4.84,0.39,10.26,10.08,107.74,0.06
1.88,26.24,1.57,12.68,2.51,173.23,0.07
2.37,15.19,1.03,3.18,0.78,2.6,2.25
2.66,13.41,2.4,6.39,5.55,49.95,1.5
2.44,23.75,2.41,9.37,11.82,5.39,0.03
2.96,40.61,3.87,11.98,9.31,132.61,0.0
0.78,28.58,2.61,9.5,7.95,122.16,0.01
1.99,35.91,2.42,1.61,0.16,229.89,2.8
1.26,27.83,1.31,8.23,6.59,27.72,0.0
3.37,32.0,4.29,13.29,2.45,58.48,0.0
1.54,20.59,0.64,13.05,6.87,17.11,0.0
3.36,41.82,4.92,8.86,14.88,53.83,0.0
2.69,23.58,2.49,14.94,13.21,50.11,0.0
2.51,25.73,1.09,1.76,4.73,4.97,3.02
1.72,24.57,1.9,7.28,8.94,136.96,0.08
1.55,15.6,0.27,11.67,7.58,52.21,0.0
1.84,11.94,1.0,2.29,2.04,185.36,2.53
1.03,5.17,1.81,14.6,14.85,35.45,0.0
3.17,32.88,2.86,5.44,6.44,239.06,3.13
2.78,14.44,0.82,5.38,7.63,423.49,3.77
2.8,18.74,3.44,3.36,9.75,185.55,0.0
1.52,41.56,4.25,4.46,2.95,125.42,0.37
0.25,26.36,2.95,8.75,3.41,128.68,0.0
2.39,6.17,1.63,6.55,2.97,102.56,1.36
1.31,36.38,0.78,3.06,5.83,21.46,0.79
3.05,13.01,0.27,12.18,3.08,91.18,0.64
2.73,25.77,3.71,1.12,13.9,147.59,0.0
0.51,23.93,3.22,12.55,10.74,452.43,0.04
2.11,12.24,2.49,4.27,13.48,62.3,0.0
2.42,6.98,0.69,7.54,12.74,27.08,0.1
1.99,11.08,1.19,5.84,10.58,86.17,0.0
1.8,6.19,4.11,8.64,3.72,468.78,0.7
0.8,13.85,2.5,11.98,9.27,18.29,0.0
0.83,44.88,4.82,14.84,2.88,45.89,0.0
2.69,19.29,5.0,4.73,2.07,65.27,1.67
0.07,39.15,4.04,8.4,9.53,21.31,0.0
2.73,25.61,1.44,7.1,9.41,1.49,0.05
1.84,30.66,1.31,14.98,2.43,49.9,0.02
3.28,8.72,1.42,12.17,5.35,235.15,1.31
3.49,13.82,4.94,6.08,1.09,3.76,2.16
2.32,23.95,1.81,7.26,10.76,61.12,0.06
1.44,39.89,3.59,3.84,14.81,154.78,0.03
1.66,3.84,4.8,11.38,11.12,357.05,0.01
0.71,23.8,4.13,12.71,12.68,343.98,0.02
0.35,4.19,3.07,14.48,7.2,49.71,0.0
2.03,21.64,1.01,8.57,1.52,343.8,1.34
2.82,29.04,1.04,10.13,10.93,3.94,0.03
0.92,34.02,2.56,6.8,3.92,118.39,0.03
1.47,7.96,4.77,9.22,5.89,116.64,0.0
1.94,9.16,4.54,5.36,10.58,18.89,0.0
3.18,22.21,1.0,11.12,13.58,77.54,0.0
0.49,44.92,1.58,0.54,7.35,10.45,0.27
0.83,17.31,3.03,0.62,14.43,164.26,0.0
3.21,20.38,2.49,10.8,7.85,40.91,0.67
0.14,20.6,0.77,13.97,1.93,88.29,0.0
2.3,5.47,1.97,9.56,7.82,16.25,0.04
2.24,35.29,4.78,10.95,12.92,22.03,0.06
1.34,12.88,4.77,12.39,8.12,398.98,0.01
1.64,32.26,2.89,5.55,11.24,102.7,0.0
2.99,22.43,3.25,1.8,8.26,355.47,0.0
0.58,28.31,1.27,14.01,8.24,30.45,0.0
0.81,4.32,3.76,14.09,4.34,16.74,0.01
1.79,40.27,0.45,6.74,3.1,70.88,0.55
1.43,12.49,1.26,3.41,4.26,79.94,1.0
2.01,30.81,0.23,13.41,6.67,20.21,0.03
3.22,36.31,2.05,10.68,12.16,86.82,0.02
3.21,25.22,4.28,0.32,12.45,50.7,0.0
0.81,16.51,4.92,1.79,2.53,25.13,0.0
1.06,44.05,3.41,14.75,8.34,36.76,0.0
0.57,13.97,3.78,0.76,6.3,100.09,0.31
3.25,42.79,1.46,4.38,8.61,123.89,0.0
1.39,8.72,2.7,8.32,9.75,59.41,0.07
1.57,18.74,3.74,2.93,4.27,61.68,0.75
2.81,7.96,2.59,3.63,13.8,15.28,0.0
1.8,2.1,0.63,5.42,14.04,188.73,0.0
0.42,13.19,3.76,4.19,1.67,182.89,0.09
1.53,5.75,1.25,12.09,10.57,74.33,0.0
2.21,44.41,0.67,7.6,0.6,1.43,0.51
2.52,34.75,2.49,4.32,0.79,66.66,1.98
2.26,2.16,0.56,4.83,14.37,95.1,0.03
0.42,11.62,3.22,0.79,10.45,420.71,0.0
1.07,30.82,3.27,0.93,4.94,673.19,3.3
2.57,19.14,1.43,10.83,10.08,156.63,0.0
3.08,37.77,4.83,1.87,12.7,5.89,0.04
0.17,23.71,4.16,7.24,13.08,211.83,0.04
0.15,30.11,0.73,12.67,0.41,74.46,0.0
2.25,27.67,3.79,5.65,12.29,106.32,0.0
1.92,29.44,1.89,5.32,12.81,50.35,0.0
0.54,11.89,3.8,13.12,8.97,41.48,0.01
1.92,18.05,4.04,13.0,7.25,46.44,0.05
3.41,4.18,0.93,13.23,1.75,13.48,0.37
2.21,27.27,3.38,8.66,3.67,28.26,0.0
1.57,21.75,4.34,14.29,7.41,220.17,0.04
2.9,34.71,1.75,12.32,12.99,4.23,0.0
0.74,10.87,0.59,6.35,12.07,10.92,0.0
1.45,20.78,0.33,9.52,7.49,11.32,0.01
1.85,9.77,0.73,2.0,11.81,61.83,0.0
1.77,28.4,0.22,8.36,11.51,501.1,0.04
3.22,38.47,1.77,4.09,8.73,17.95,0.0
1.02,34.91,1.64,4.4,3.38,13.23,0.0
0.2,42.6,0.73,2.06,5.29,242.8,0.39
3.21,43.78,3.33,5.5,2.54,259.07,3.31
0.76,35.2,4.96,7.32,0.21,4.01,0.03
1.33,14.33,4.52,9.09,1.3,151.99,0.0
1.86,11.43,1.41,4.71,11.42,92.76,0.07
3.42,21.24,3.9,11.93,0.6,134.92,0.77
1.87,44.74,4.7,7.91,6.06,57.46,0.04
1.57,19.74,4.55,9.64,14.79,578.23,0.0
2.04,10.56,4.45,4.32,11.95,4.71,0.04
3.4,42.61,3.97,12.25,11.28,23.96,0.0
2.86,18.59,1.61,9.44,4.19,32.18,0.78
0.59,31.71,0.6,12.96,9.66,56.14,0.0
2.81,35.89,2.54,2.57,7.53,309.08,4.04
2.94,38.26,0.46,5.83,9.39,77.27,0.0
2.42,37.32,4.99,1.87,6.59,3.41,1.99
2.3,37.96,1.92,3.39,8.01,33.7,0.0
1.54,30.71,4.8,6.04,14.83,45.31,0.01
2.25,19.36,3.91,13.44,5.01,396.02,0.03
2.58,30.69,2.17,8.44,3.33,111.81,0.91
0.43,37.98,0.77,5.09,6.78,120.4,0.0
0.9,17.08,1.34,11.25,7.91,132.91,0.0
0.68,14.75,3.43,0.49,1.38,141.41,0.77
2.94,16.78,4.18,5.68,12.11,98.93,0.0
2.38,25.71,4.9,9.09,6.39,25.74,0.0
1.58,4.26,0.83,8.83,6.26,217.69,0.06
2.89,35.5,0.95,9.19,9.92,115.81,0.0
2.51,7.97,0.4,3.33,11.62,139.25,0.0
3.2,7.71,1.45,5.19,14.79,398.33,0.0
0.27,10.5,4.14,13.99,2.69,127.84,0.03
1.78,26.81,1.15,14.61,5.25,199.21,0.0
2.47,14.28,2.83,4.82,2.61,353.15,2.91
0.73,17.83,2.34,9.74,13.22,15.58,0.04
1.14,42.06,1.76,3.77,8.27,44.68,0.0
1.47,38.43,3.17,5.65,12.8,102.66,0.0
2.78,38.64,2.61,11.93,14.78,41.85,0.0
1.73,26.84,1.81,7.62,8.3,160.27,0.02
1.73,39.26,3.51,12.77,1.86,141.72,0.04
1.51,35.48,1.54,9.51,5.48,113.03,0.0
0.8,42.99,3.29,9.51,0.64,531.45,0.0
3.23,4.77,4.79,0.7,12.75,34.76,0.05
1.11,3.24,3.7,11.3,0.37,96.52,0.1
1.99,9.53,2.21,14.67,8.92,55.45,0.02
0.52,41.95,3.79,7.2,1.68,23.71,0.03
1.52,28.04,4.08,2.55,0.21,14.3,0.61
3.16,20.32,1.76,14.66,3.92,162.36,0.01
3.48,24.05,3.58,4.49,8.32,68.86,0.02
1.27,37.67,2.29,6.26,1.22,110.95,0.0
0.54,41.95,4.13,1.35,9.26,60.31,0.07
1.1,33.38,1.62,1.84,10.11,20.57,0.01
1.15,34.67,4.7,3.41,14.55,26.72,0.02
2.26,15.78,2.96,8.32,13.5,47.65,0.0
1.74,22.08,1.9,8.46,8.55,349.56,0.0
