rain_1h,rain_lag1,delta_1h,acceleration,radar_dbz,cape_jkg,pwat_mm,target_rain_1h,target_heavy_rain
3.33,3.16,0.17,-0.02,29.8,2058.0,73.4,2.76,0
13.38,15.97,-2.59,0.67,38.5,1349.0,42.3,9.79,0
17.21,20.82,-3.62,-1.75,41.0,1092.0,47.4,10.67,0
3.26,2.69,0.56,0.07,28.5,1672.0,55.4,1.27,0
15.63,17.11,-1.48,0.3,44.8,1413.0,69.5,11.26,0
5.5,5.41,0.09,0.03,38.0,2016.0,51.7,3.2,0
12.01,14.74,-2.74,1.23,40.9,3119.0,64.8,9.96,0
12.05,9.99,2.05,-0.16,42.7,2180.0,69.3,9.45,0
9.21,10.19,-0.98,-0.11,38.7,2936.0,47.4,9.8,0
1.14,1.21,-0.07,0.02,23.7,2362.0,50.7,2.43,0
21.64,18.99,2.66,2.07,43.7,1941.0,49.3,20.77,0
4.64,3.63,1.01,-0.23,33.1,2851.0,68.3,4.58,0
2.48,2.7,-0.23,0.07,26.2,1931.0,36.8,0.86,0
0.5,0.57,-0.07,0.02,18.7,2885.0,47.3,0.92,0
10.73,9.54,1.19,0.59,39.4,1500.0,62.2,12.25,0
13.58,14.76,-1.18,-0.06,42.6,1109.0,57.6,9.32,0
0.2,0.19,0.01,0.0,12.0,2853.0,52.5,0.0,0
8.61,9.71,-1.1,0.52,37.6,2210.0,56.6,8.11,0
3.08,2.53,0.56,-0.25,29.1,2934.0,42.9,3.58,0
12.43,15.34,-2.91,-0.23,40.7,3051.0,52.2,6.29,0
2.3,2.01,0.29,0.16,30.3,929.0,55.1,0.73,0
14.09,12.97,1.12,0.73,39.1,2002.0,71.0,11.2,0
5.87,4.31,1.56,-0.6,35.5,1700.0,45.4,4.44,0
33.12,25.4,7.72,1.54,47.8,2302.0,69.7,59.0,1
1.78,1.79,-0.02,-0.01,25.6,2705.0,60.8,0.96,0
5.01,4.31,0.7,0.0,33.0,1473.0,35.8,3.43,0
1.45,1.74,-0.29,-0.17,26.0,2136.0,64.0,0.0,0
31.03,22.0,9.04,-2.95,44.6,2501.0,36.4,55.61,1
25.18,23.35,1.83,1.31,46.1,1123.0,74.9,23.31,0
3.58,3.23,0.35,0.17,30.1,2754.0,69.9,2.69,0
12.95,9.21,3.73,2.7,42.9,2255.0,46.9,16.55,0
20.39,15.8,4.6,1.74,48.6,3079.0,45.3,21.92,0
9.72,9.22,0.5,-0.01,37.1,1615.0,50.3,5.42,0
9.05,9.01,0.04,0.03,39.4,1060.0,49.2,8.77,0
3.32,3.13,0.19,-0.03,29.9,2016.0,49.9,4.16,0
1.17,1.19,-0.02,0.0,26.2,1006.0,47.7,0.11,0
27.3,28.86,-1.56,-0.64,43.5,3127.0,59.8,18.99,0
27.68,19.54,8.14,4.03,47.0,893.0,41.6,30.11,0
12.03,11.77,0.26,0.18,38.5,2608.0,68.8,10.43,0
4.97,6.35,-1.38,0.32,33.7,2060.0,67.5,1.12,0
5.15,5.21,-0.06,-0.03,32.3,1685.0,54.1,1.43,0
15.53,17.19,-1.65,-0.76,43.7,958.0,69.1,11.71,0
27.29,24.21,3.08,-1.28,44.3,2293.0,44.9,24.5,0
26.17,30.48,-4.3,-0.01,46.8,2205.0,35.7,18.48,0
18.16,21.14,-2.97,0.39,42.5,1474.0,59.8,13.35,0
12.33,12.49,-0.16,0.02,40.2,2985.0,53.3,8.17,0
1.05,1.36,-0.3,-0.23,23.7,1530.0,57.7,0.0,0
2.12,1.64,0.48,0.16,26.7,1879.0,71.0,3.23,0
27.46,19.5,7.96,3.45,46.4,2105.0,73.8,51.59,1
11.19,13.0,-1.81,-1.4,42.9,1041.0,60.4,4.58,0
0.11,0.13,-0.02,0.0,10.0,3037.0,65.6,0.0,0
1.28,0.99,0.29,0.16,27.1,1699.0,38.4,0.0,0
13.07,11.23,1.84,0.12,43.9,994.0,41.4,12.92,0
0.06,0.04,0.02,0.01,10.0,1729.0,64.3,0.7,0
2.1,1.84,0.26,-0.07,25.3,2240.0,52.3,0.0,0
9.55,11.11,-1.56,-1.15,39.3,2033.0,52.8,8.28,0
14.13,14.28,-0.15,0.03,40.3,2467.0,47.3,9.69,0
12.67,11.51,1.15,-0.09,44.4,933.0,59.3,14.65,0
3.05,2.81,0.23,0.11,30.8,1483.0,42.4,2.68,0
14.95,10.47,4.47,0.05,40.2,2766.0,60.1,13.26,0
3.25,2.86,0.39,0.11,28.9,992.0,42.0,0.77,0
4.72,5.14,-0.42,-0.03,36.0,2853.0,37.6,4.42,0
16.47,21.15,-4.69,-2.18,41.3,1021.0,48.2,9.47,0
12.59,15.21,-2.62,0.53,40.7,2803.0,44.2,8.86,0
22.7,16.21,6.49,-2.75,46.6,1666.0,70.6,26.23,0
12.86,15.94,-3.08,0.34,39.8,2269.0,37.2,7.53,0
10.08,11.79,-1.71,-0.2,39.0,1167.0,42.1,7.47,0
1.18,1.38,-0.2,0.06,24.1,959.0,56.9,3.72,0
5.5,5.36,0.14,-0.01,36.2,1318.0,54.2,5.31,0
3.7,3.47,0.23,0.0,33.3,1107.0,36.8,0.09,0
3.36,2.96,0.4,-0.17,31.0,1550.0,35.3,4.09,0
43.35,32.05,11.3,2.92,49.3,2035.0,74.5,77.56,1
5.99,5.02,0.98,0.63,34.7,2213.0,61.4,8.73,0
26.71,22.65,4.06,-1.23,42.9,2696.0,49.6,23.51,0
11.97,11.85,0.11,0.03,40.8,2375.0,53.8,16.2,0
19.01,21.83,-2.82,-1.03,47.3,2261.0,45.7,16.91,0
8.38,8.25,0.13,0.01,36.0,1788.0,48.8,5.62,0
10.32,7.58,2.74,1.13,37.7,1937.0,61.0,10.96,0
8.14,10.38,-2.24,-0.08,35.8,1795.0,70.3,6.89,0
2.61,3.3,-0.69,-0.11,31.1,2821.0,42.4,3.28,0
15.38,18.01,-2.63,1.29,42.9,1352.0,68.6,12.5,0
3.95,5.12,-1.17,-0.47,32.2,814.0,39.9,4.95,0
0.3,0.3,-0.01,-0.0,12.7,2363.0,43.6,0.0,0
12.44,15.9,-3.46,1.56,40.7,1286.0,36.5,7.89,0
2.34,1.74,0.6,-0.01,25.8,2936.0,40.6,1.7,0
33.85,31.12,2.73,2.11,47.8,2862.0,71.7,32.88,0
36.93,30.85,6.09,0.29,49.8,984.0,53.4,36.33,1
29.56,24.17,5.4,0.82,44.0,1055.0,38.1,29.59,0
5.55,4.35,1.2,0.82,31.9,1988.0,73.4,7.33,0
0.19,0.2,-0.01,-0.01,14.5,2262.0,70.2,0.0,0
31.63,36.96,-5.34,-1.37,45.8,1460.0,65.2,23.52,0
6.71,7.02,-0.32,-0.17,38.5,2520.0,72.3,5.88,0
40.81,32.17,8.64,5.39,48.5,2228.0,43.8,77.35,1
39.76,47.19,-7.42,-0.7,48.3,1580.0,68.5,25.52,0
23.01,24.89,-1.88,-0.22,45.7,861.0,62.6,21.34,0
4.19,3.9,0.28,0.0,31.2,2600.0,69.8,3.9,0
5.84,6.45,-0.61,-0.46,35.5,1315.0,66.9,5.41,0
22.86,19.56,3.29,1.34,44.0,2803.0,48.9,25.36,0
4.57,4.15,0.42,-0.17,30.9,1809.0,66.0,5.26,0
2.23,2.79,-0.56,-0.35,29.3,2185.0,45.5,2.23,0
9.76,8.54,1.23,0.15,38.3,2895.0,48.1,9.66,0
33.02,32.42,0.59,-0.24,47.0,2873.0,39.3,27.44,0
14.29,17.63,-3.35,-0.72,39.1,1692.0,72.4,9.63,0
10.13,11.39,-1.26,-0.05,42.3,1301.0,46.6,6.31,0
1.23,0.9,0.32,0.21,26.2,2660.0,55.8,1.23,0
11.45,9.03,2.42,-0.57,41.9,1839.0,50.7,6.57,0
55.33,38.99,16.34,9.38,50.3,1261.0,73.4,61.39,1
1.81,1.95,-0.14,-0.03,23.7,2971.0,48.4,1.19,0
8.77,8.49,0.28,-0.12,42.0,1275.0,66.1,6.94,0
25.18,19.66,5.53,4.22,45.3,862.0,69.2,26.68,0
16.2,20.65,-4.45,-0.74,40.9,849.0,52.4,7.69,0
14.33,14.58,-0.25,0.03,42.3,2294.0,50.1,15.87,0
14.55,12.29,2.25,0.25,43.9,2388.0,64.9,13.76,0
5.35,5.35,-0.0,-0.0,34.6,1547.0,71.5,4.25,0
4.17,4.62,-0.45,0.05,35.5,1568.0,65.2,1.32,0
19.89,14.83,5.06,-1.26,46.0,1615.0,44.1,20.07,0
19.94,17.24,2.69,-0.9,41.7,2432.0,70.5,21.32,0
24.22,28.68,-4.46,0.5,43.8,940.0,50.5,19.75,0
29.34,28.63,0.71,0.36,48.4,3030.0,58.0,27.22,0
8.59,8.83,-0.24,-0.03,32.5,1334.0,68.3,8.23,0
8.35,8.02,0.34,-0.07,37.5,3199.0,42.5,6.6,0
19.21,13.95,5.26,-1.49,40.7,1212.0,66.4,16.62,0
12.6,10.07,2.53,-0.17,39.7,2652.0,58.8,11.98,0
14.53,14.05,0.47,0.34,41.0,1336.0,70.7,12.29,0
19.06,15.74,3.33,-0.18,42.8,994.0,41.9,20.52,0
26.49,19.34,7.15,5.61,44.7,2900.0,51.8,51.46,1
4.95,5.97,-1.02,-0.13,31.9,2861.0,68.3,6.7,0
5.65,7.28,-1.63,0.44,39.6,1769.0,35.8,6.2,0
1.18,1.39,-0.21,-0.14,27.9,2486.0,39.5,0.0,0
10.36,12.56,-2.2,-0.22,36.9,2137.0,74.6,3.67,0
0.44,0.37,0.07,0.03,20.5,2847.0,46.2,3.2,0
7.52,9.6,-2.08,-1.62,36.2,1556.0,74.0,7.28,0
9.39,7.68,1.71,-0.74,38.8,2057.0,42.3,6.22,0
4.05,5.15,-1.1,0.41,32.6,1965.0,49.4,5.82,0
10.72,13.91,-3.18,-1.39,38.2,1649.0,65.1,7.36,0
0.37,0.42,-0.05,0.01,18.1,2939.0,61.3,0.61,0
0.46,0.59,-0.13,0.03,17.8,1198.0,58.2,3.54,0
20.75,21.62,-0.87,0.39,43.1,1159.0,56.2,19.84,0
5.36,4.59,0.77,-0.36,32.1,2185.0,68.7,6.29,0
1.63,1.57,0.06,0.03,24.6,2378.0,44.4,2.38,0
8.86,9.36,-0.5,0.16,34.9,1267.0,52.7,8.47,0
17.64,13.12,4.52,0.49,43.0,1738.0,41.2,17.39,0
2.92,3.13,-0.21,-0.06,28.1,3072.0,58.8,2.21,0
11.7,15.08,-3.38,-0.19,39.6,1392.0,45.0,5.8,0
1.07,0.87,0.2,-0.09,26.2,2404.0,48.4,0.36,0
0.64,0.75,-0.11,-0.06,22.3,2576.0,53.9,0.0,0
9.09,11.32,-2.23,1.08,38.3,1876.0,36.1,5.22,0
9.33,11.82,-2.49,-1.22,38.4,3050.0,38.7,6.21,0
12.17,15.54,-3.36,-2.22,44.1,2568.0,62.4,6.85,0
15.54,15.74,-0.2,-0.01,43.1,1899.0,52.2,14.07,0
44.68,57.48,-12.8,-2.51,48.8,2166.0,69.6,25.39,0
8.72,10.06,-1.35,-0.16,35.2,2462.0,62.8,6.23,0
4.68,3.73,0.95,0.01,34.5,2221.0,35.3,4.89,0
19.03,18.76,0.26,0.17,45.1,2909.0,59.7,15.78,0
3.79,4.29,-0.5,-0.33,31.0,1657.0,38.7,2.46,0
6.94,5.88,1.05,-0.07,37.1,1520.0,66.2,3.42,0
0.98,1.06,-0.08,-0.02,22.1,1313.0,74.7,1.48,0
0.31,0.34,-0.03,-0.02,14.5,891.0,56.2,1.53,0
39.45,31.46,7.98,5.99,43.6,903.0,62.3,41.48,1
21.69,22.54,-0.85,-0.14,43.9,2888.0,44.5,19.91,0
14.29,16.62,-2.33,-0.21,43.4,2428.0,52.5,10.91,0
6.31,6.31,0.0,-0.0,34.5,2385.0,69.2,6.32,0
2.28,1.62,0.67,0.5,28.9,2275.0,41.7,2.84,0
2.04,1.44,0.6,-0.19,26.5,2838.0,45.6,3.47,0
3.46,3.16,0.3,0.08,32.3,1953.0,52.8,0.0,0
9.56,12.01,-2.45,0.32,38.3,2889.0,63.5,4.76,0
15.05,12.6,2.45,-0.34,40.0,1663.0,50.0,17.54,0
12.95,14.0,-1.04,-0.03,43.5,3024.0,72.1,5.37,0
3.94,3.28,0.66,0.52,34.4,2477.0,38.8,3.65,0
37.18,33.2,3.98,-1.7,46.9,1417.0,49.8,36.22,1
16.07,19.42,-3.36,-0.85,43.3,2154.0,63.4,10.97,0
9.7,11.03,-1.33,0.52,39.9,2079.0,44.0,6.66,0
11.35,8.6,2.76,-0.82,41.2,1131.0,61.3,11.57,0
6.53,6.25,0.28,0.02,32.7,2219.0,41.6,5.04,0
3.42,2.45,0.96,0.16,33.6,1555.0,37.2,3.66,0
5.28,5.22,0.06,-0.01,33.4,926.0,39.8,3.16,0
17.02,18.68,-1.66,0.15,42.0,3077.0,72.2,15.59,0
0.17,0.13,0.04,-0.02,16.1,2340.0,57.1,3.02,0
1.48,1.29,0.19,-0.02,26.3,2905.0,66.9,1.11,0
0.57,0.53,0.03,0.03,18.3,2423.0,48.3,0.0,0
0.5,0.62,-0.13,-0.09,13.8,1657.0,58.7,0.0,0
23.21,30.08,-6.87,0.44,47.6,2030.0,54.8,14.8,0
14.59,10.61,3.99,0.96,38.9,2422.0,72.8,16.37,0
7.71,8.92,-1.21,-0.82,35.2,3105.0,64.9,3.51,0
1.24,1.14,0.1,-0.05,23.8,1409.0,64.2,0.0,0
8.12,7.59,0.52,0.29,40.4,2900.0,36.9,8.35,0
7.7,8.87,-1.17,-0.86,38.7,3018.0,57.0,7.4,0
2.28,2.86,-0.57,0.22,28.4,2409.0,53.7,0.36,0
6.83,8.67,-1.85,0.54,37.0,3035.0,72.1,2.02,0
6.1,6.38,-0.28,-0.21,34.4,1755.0,45.3,11.51,0
11.48,10.5,0.98,0.2,40.2,3087.0,45.8,12.04,0
12.1,14.18,-2.09,1.01,40.5,2487.0,51.5,8.59,0
0.56,0.47,0.08,-0.01,20.9,901.0,44.7,2.26,0
5.63,5.85,-0.22,-0.02,37.0,2976.0,40.2,4.39,0
11.8,10.8,1.0,0.4,41.1,1963.0,69.3,12.55,0
8.39,9.18,-0.79,-0.36,37.1,1905.0,57.3,6.83,0
23.3,19.67,3.63,2.88,46.4,2160.0,69.5,23.19,0
12.9,10.51,2.39,-0.3,40.6,1159.0,68.2,12.28,0
2.13,2.67,-0.54,-0.11,26.1,1926.0,46.3,0.0,0
0.88,0.67,0.21,0.04,21.3,2795.0,56.9,4.78,0
12.34,12.38,-0.04,-0.0,40.6,837.0,38.3,8.58,0
0.32,0.27,0.05,-0.02,17.0,1455.0,71.6,0.0,0
10.58,7.65,2.93,2.25,39.0,806.0,51.2,11.13,0
33.81,24.4,9.41,5.73,45.1,1798.0,50.7,34.68,0
10.28,8.28,2.0,0.3,39.3,2548.0,47.1,10.07,0
5.9,7.19,-1.3,-0.37,35.6,2717.0,53.4,5.41,0
12.37,10.76,1.61,-0.33,40.9,3068.0,45.1,13.52,0
7.36,9.34,-1.99,-0.41,38.7,2260.0,50.0,6.42,0
9.47,9.93,-0.46,-0.19,40.7,1411.0,67.0,7.07,0
34.06,32.76,1.3,0.22,46.3,3018.0,68.4,29.98,0
5.86,6.14,-0.28,-0.22,34.1,2661.0,47.2,5.54,0
38.99,39.38,-0.39,-0.12,46.4,2179.0,53.8,29.33,0
28.29,32.68,-4.39,0.08,47.6,2470.0,70.0,22.22,0
2.61,2.27,0.34,0.17,32.6,3018.0,37.1,0.0,0
0.86,0.79,0.08,-0.02,21.4,2510.0,70.6,4.86,0
1.27,1.58,-0.3,0.0,24.2,1684.0,43.8,0.07,0
0.22,0.28,-0.06,0.0,15.4,2511.0,62.1,0.0,0
1.19,1.47,-0.28,-0.02,25.2,897.0,58.3,0.0,0
13.79,13.12,0.67,0.34,42.1,1727.0,57.1,11.0,0
0.89,1.04,-0.15,-0.02,19.8,1775.0,69.4,5.2,0
4.61,4.54,0.07,0.03,35.0,1200.0,39.1,5.85,0
22.36,22.33,0.03,0.01,42.7,855.0,48.9,15.93,0
0.28,0.23,0.05,-0.0,12.0,1120.0,56.5,3.28,0
20.21,21.32,-1.11,-0.61,43.2,2371.0,67.5,18.66,0
3.97,3.22,0.75,-0.14,31.4,2725.0,43.7,3.29,0
1.51,1.36,0.15,-0.03,25.4,3172.0,67.1,1.99,0
14.32,17.37,-3.05,-0.48,38.6,1631.0,51.0,9.95,0
11.9,9.81,2.09,-0.34,42.1,2239.0,42.6,15.39,0
25.19,18.71,6.48,-3.16,47.7,3049.0,65.4,42.55,1
15.94,11.82,4.12,1.41,38.4,1201.0,38.6,17.0,0
19.52,24.69,-5.16,-0.85,45.6,2522.0,55.6,12.01,0
