dataset_id,source,timestamp,fused_precip_rate_mm_hr,unit,native_resolution,observation_time,publication_time,quality_flag
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T06:30:00+00:00,17.63,mm/hr,0.10 deg,2022-08-12T06:30:00+00:00,2022-08-12T10:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T07:00:00+00:00,13.69,mm/hr,0.10 deg,2022-08-12T07:00:00+00:00,2022-08-12T11:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T07:30:00+00:00,13.69,mm/hr,0.10 deg,2022-08-12T07:30:00+00:00,2022-08-12T11:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T08:00:00+00:00,10.45,mm/hr,0.10 deg,2022-08-12T08:00:00+00:00,2022-08-12T12:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T08:30:00+00:00,10.45,mm/hr,0.10 deg,2022-08-12T08:30:00+00:00,2022-08-12T12:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T09:00:00+00:00,8.68,mm/hr,0.10 deg,2022-08-12T09:00:00+00:00,2022-08-12T13:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T09:30:00+00:00,8.68,mm/hr,0.10 deg,2022-08-12T09:30:00+00:00,2022-08-12T13:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T10:00:00+00:00,8.83,mm/hr,0.10 deg,2022-08-12T10:00:00+00:00,2022-08-12T14:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T10:30:00+00:00,8.83,mm/hr,0.10 deg,2022-08-12T10:30:00+00:00,2022-08-12T14:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T11:00:00+00:00,10.86,mm/hr,0.10 deg,2022-08-12T11:00:00+00:00,2022-08-12T15:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T11:30:00+00:00,10.86,mm/hr,0.10 deg,2022-08-12T11:30:00+00:00,2022-08-12T15:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T12:00:00+00:00,14.26,mm/hr,0.10 deg,2022-08-12T12:00:00+00:00,2022-08-12T16:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T12:30:00+00:00,14.26,mm/hr,0.10 deg,2022-08-12T12:30:00+00:00,2022-08-12T16:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T13:00:00+00:00,18.22,mm/hr,0.10 deg,2022-08-12T13:00:00+00:00,2022-08-12T17:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T13:30:00+00:00,18.22,mm/hr,0.10 deg,2022-08-12T13:30:00+00:00,2022-08-12T17:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T14:00:00+00:00,21.76,mm/hr,0.10 deg,2022-08-12T14:00:00+00:00,2022-08-12T18:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T14:30:00+00:00,21.76,mm/hr,0.10 deg,2022-08-12T14:30:00+00:00,2022-08-12T18:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T15:00:00+00:00,24.0,mm/hr,0.10 deg,2022-08-12T15:00:00+00:00,2022-08-12T19:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T15:30:00+00:00,24.0,mm/hr,0.10 deg,2022-08-12T15:30:00+00:00,2022-08-12T19:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T16:00:00+00:00,24.41,mm/hr,0.10 deg,2022-08-12T16:00:00+00:00,2022-08-12T20:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T16:30:00+00:00,24.41,mm/hr,0.10 deg,2022-08-12T16:30:00+00:00,2022-08-12T20:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T17:00:00+00:00,22.89,mm/hr,0.10 deg,2022-08-12T17:00:00+00:00,2022-08-12T21:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T17:30:00+00:00,22.89,mm/hr,0.10 deg,2022-08-12T17:30:00+00:00,2022-08-12T21:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T18:00:00+00:00,19.8,mm/hr,0.10 deg,2022-08-12T18:00:00+00:00,2022-08-12T22:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T18:30:00+00:00,19.8,mm/hr,0.10 deg,2022-08-12T18:30:00+00:00,2022-08-12T22:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T19:00:00+00:00,15.9,mm/hr,0.10 deg,2022-08-12T19:00:00+00:00,2022-08-12T23:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T19:30:00+00:00,15.9,mm/hr,0.10 deg,2022-08-12T19:30:00+00:00,2022-08-12T23:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T20:00:00+00:00,12.15,mm/hr,0.10 deg,2022-08-12T20:00:00+00:00,2022-08-13T00:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T20:30:00+00:00,12.15,mm/hr,0.10 deg,2022-08-12T20:30:00+00:00,2022-08-13T00:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T21:00:00+00:00,9.46,mm/hr,0.10 deg,2022-08-12T21:00:00+00:00,2022-08-13T01:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T21:30:00+00:00,9.46,mm/hr,0.10 deg,2022-08-12T21:30:00+00:00,2022-08-13T01:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T22:00:00+00:00,8.5,mm/hr,0.10 deg,2022-08-12T22:00:00+00:00,2022-08-13T02:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T22:30:00+00:00,8.5,mm/hr,0.10 deg,2022-08-12T22:30:00+00:00,2022-08-13T02:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T23:00:00+00:00,9.5,mm/hr,0.10 deg,2022-08-12T23:00:00+00:00,2022-08-13T03:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T23:30:00+00:00,9.5,mm/hr,0.10 deg,2022-08-12T23:30:00+00:00,2022-08-13T03:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T00:00:00+00:00,20.5,mm/hr,0.10 deg,2022-08-13T00:00:00+00:00,2022-08-13T04:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T00:30:00+00:00,20.5,mm/hr,0.10 deg,2022-08-13T00:30:00+00:00,2022-08-13T04:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T01:00:00+00:00,24.34,mm/hr,0.10 deg,2022-08-13T01:00:00+00:00,2022-08-13T05:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T01:30:00+00:00,24.34,mm/hr,0.10 deg,2022-08-13T01:30:00+00:00,2022-08-13T05:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T02:00:00+00:00,27.23,mm/hr,0.10 deg,2022-08-13T02:00:00+00:00,2022-08-13T06:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T02:30:00+00:00,27.23,mm/hr,0.10 deg,2022-08-13T02:30:00+00:00,2022-08-13T06:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T03:00:00+00:00,28.48,mm/hr,0.10 deg,2022-08-13T03:00:00+00:00,2022-08-13T07:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T03:30:00+00:00,28.48,mm/hr,0.10 deg,2022-08-13T03:30:00+00:00,2022-08-13T07:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T04:00:00+00:00,27.77,mm/hr,0.10 deg,2022-08-13T04:00:00+00:00,2022-08-13T08:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T04:30:00+00:00,27.77,mm/hr,0.10 deg,2022-08-13T04:30:00+00:00,2022-08-13T08:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T05:00:00+00:00,25.29,mm/hr,0.10 deg,2022-08-13T05:00:00+00:00,2022-08-13T09:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T05:30:00+00:00,25.29,mm/hr,0.10 deg,2022-08-13T05:30:00+00:00,2022-08-13T09:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T06:00:00+00:00,21.63,mm/hr,0.10 deg,2022-08-13T06:00:00+00:00,2022-08-13T10:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T06:30:00+00:00,21.63,mm/hr,0.10 deg,2022-08-13T06:30:00+00:00,2022-08-13T10:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T07:00:00+00:00,17.69,mm/hr,0.10 deg,2022-08-13T07:00:00+00:00,2022-08-13T11:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T07:30:00+00:00,17.69,mm/hr,0.10 deg,2022-08-13T07:30:00+00:00,2022-08-13T11:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T08:00:00+00:00,14.45,mm/hr,0.10 deg,2022-08-13T08:00:00+00:00,2022-08-13T12:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T08:30:00+00:00,14.45,mm/hr,0.10 deg,2022-08-13T08:30:00+00:00,2022-08-13T12:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T09:00:00+00:00,12.68,mm/hr,0.10 deg,2022-08-13T09:00:00+00:00,2022-08-13T13:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T09:30:00+00:00,12.68,mm/hr,0.10 deg,2022-08-13T09:30:00+00:00,2022-08-13T13:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T10:00:00+00:00,12.83,mm/hr,0.10 deg,2022-08-13T10:00:00+00:00,2022-08-13T14:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T10:30:00+00:00,12.83,mm/hr,0.10 deg,2022-08-13T10:30:00+00:00,2022-08-13T14:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T11:00:00+00:00,14.86,mm/hr,0.10 deg,2022-08-13T11:00:00+00:00,2022-08-13T15:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T11:30:00+00:00,14.86,mm/hr,0.10 deg,2022-08-13T11:30:00+00:00,2022-08-13T15:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T12:00:00+00:00,18.26,mm/hr,0.10 deg,2022-08-13T12:00:00+00:00,2022-08-13T16:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T12:30:00+00:00,18.26,mm/hr,0.10 deg,2022-08-13T12:30:00+00:00,2022-08-13T16:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T13:00:00+00:00,22.22,mm/hr,0.10 deg,2022-08-13T13:00:00+00:00,2022-08-13T17:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T13:30:00+00:00,22.22,mm/hr,0.10 deg,2022-08-13T13:30:00+00:00,2022-08-13T17:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T14:00:00+00:00,25.76,mm/hr,0.10 deg,2022-08-13T14:00:00+00:00,2022-08-13T18:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T14:30:00+00:00,25.76,mm/hr,0.10 deg,2022-08-13T14:30:00+00:00,2022-08-13T18:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T15:00:00+00:00,28.0,mm/hr,0.10 deg,2022-08-13T15:00:00+00:00,2022-08-13T19:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T15:30:00+00:00,28.0,mm/hr,0.10 deg,2022-08-13T15:30:00+00:00,2022-08-13T19:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T16:00:00+00:00,28.41,mm/hr,0.10 deg,2022-08-13T16:00:00+00:00,2022-08-13T20:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T16:30:00+00:00,28.41,mm/hr,0.10 deg,2022-08-13T16:30:00+00:00,2022-08-13T20:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T17:00:00+00:00,26.89,mm/hr,0.10 deg,2022-08-13T17:00:00+00:00,2022-08-13T21:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T17:30:00+00:00,26.89,mm/hr,0.10 deg,2022-08-13T17:30:00+00:00,2022-08-13T21:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T18:00:00+00:00,23.8,mm/hr,0.10 deg,2022-08-13T18:00:00+00:00,2022-08-13T22:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T18:30:00+00:00,23.8,mm/hr,0.10 deg,2022-08-13T18:30:00+00:00,2022-08-13T22:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T19:00:00+00:00,19.9,mm/hr,0.10 deg,2022-08-13T19:00:00+00:00,2022-08-13T23:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T19:30:00+00:00,19.9,mm/hr,0.10 deg,2022-08-13T19:30:00+00:00,2022-08-13T23:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T20:00:00+00:00,16.15,mm/hr,0.10 deg,2022-08-13T20:00:00+00:00,2022-08-14T00:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T20:30:00+00:00,16.15,mm/hr,0.10 deg,2022-08-13T20:30:00+00:00,2022-08-14T00:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T21:00:00+00:00,13.46,mm/hr,0.10 deg,2022-08-13T21:00:00+00:00,2022-08-14T01:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T21:30:00+00:00,13.46,mm/hr,0.10 deg,2022-08-13T21:30:00+00:00,2022-08-14T01:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T22:00:00+00:00,12.5,mm/hr,0.10 deg,2022-08-13T22:00:00+00:00,2022-08-14T02:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T22:30:00+00:00,12.5,mm/hr,0.10 deg,2022-08-13T22:30:00+00:00,2022-08-14T02:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T23:00:00+00:00,13.5,mm/hr,0.10 deg,2022-08-13T23:00:00+00:00,2022-08-14T03:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-13T23:30:00+00:00,13.5,mm/hr,0.10 deg,2022-08-13T23:30:00+00:00,2022-08-14T03:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T00:00:00+00:00,24.5,mm/hr,0.10 deg,2022-08-14T00:00:00+00:00,2022-08-14T04:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T00:30:00+00:00,24.5,mm/hr,0.10 deg,2022-08-14T00:30:00+00:00,2022-08-14T04:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T01:00:00+00:00,28.34,mm/hr,0.10 deg,2022-08-14T01:00:00+00:00,2022-08-14T05:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T01:30:00+00:00,28.34,mm/hr,0.10 deg,2022-08-14T01:30:00+00:00,2022-08-14T05:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T02:00:00+00:00,31.23,mm/hr,0.10 deg,2022-08-14T02:00:00+00:00,2022-08-14T06:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T02:30:00+00:00,31.23,mm/hr,0.10 deg,2022-08-14T02:30:00+00:00,2022-08-14T06:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T03:00:00+00:00,32.48,mm/hr,0.10 deg,2022-08-14T03:00:00+00:00,2022-08-14T07:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T03:30:00+00:00,32.48,mm/hr,0.10 deg,2022-08-14T03:30:00+00:00,2022-08-14T07:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T04:00:00+00:00,31.77,mm/hr,0.10 deg,2022-08-14T04:00:00+00:00,2022-08-14T08:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T04:30:00+00:00,31.77,mm/hr,0.10 deg,2022-08-14T04:30:00+00:00,2022-08-14T08:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T05:00:00+00:00,29.29,mm/hr,0.10 deg,2022-08-14T05:00:00+00:00,2022-08-14T09:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T05:30:00+00:00,29.29,mm/hr,0.10 deg,2022-08-14T05:30:00+00:00,2022-08-14T09:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T06:00:00+00:00,25.63,mm/hr,0.10 deg,2022-08-14T06:00:00+00:00,2022-08-14T10:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T06:30:00+00:00,25.63,mm/hr,0.10 deg,2022-08-14T06:30:00+00:00,2022-08-14T10:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T07:00:00+00:00,21.69,mm/hr,0.10 deg,2022-08-14T07:00:00+00:00,2022-08-14T11:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T07:30:00+00:00,21.69,mm/hr,0.10 deg,2022-08-14T07:30:00+00:00,2022-08-14T11:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T08:00:00+00:00,18.45,mm/hr,0.10 deg,2022-08-14T08:00:00+00:00,2022-08-14T12:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T08:30:00+00:00,18.45,mm/hr,0.10 deg,2022-08-14T08:30:00+00:00,2022-08-14T12:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T09:00:00+00:00,16.68,mm/hr,0.10 deg,2022-08-14T09:00:00+00:00,2022-08-14T13:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T09:30:00+00:00,16.68,mm/hr,0.10 deg,2022-08-14T09:30:00+00:00,2022-08-14T13:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T10:00:00+00:00,16.83,mm/hr,0.10 deg,2022-08-14T10:00:00+00:00,2022-08-14T14:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T10:30:00+00:00,16.83,mm/hr,0.10 deg,2022-08-14T10:30:00+00:00,2022-08-14T14:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T11:00:00+00:00,18.86,mm/hr,0.10 deg,2022-08-14T11:00:00+00:00,2022-08-14T15:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T11:30:00+00:00,18.86,mm/hr,0.10 deg,2022-08-14T11:30:00+00:00,2022-08-14T15:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T12:00:00+00:00,22.26,mm/hr,0.10 deg,2022-08-14T12:00:00+00:00,2022-08-14T16:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T12:30:00+00:00,22.26,mm/hr,0.10 deg,2022-08-14T12:30:00+00:00,2022-08-14T16:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T13:00:00+00:00,26.22,mm/hr,0.10 deg,2022-08-14T13:00:00+00:00,2022-08-14T17:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T13:30:00+00:00,26.22,mm/hr,0.10 deg,2022-08-14T13:30:00+00:00,2022-08-14T17:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T14:00:00+00:00,29.76,mm/hr,0.10 deg,2022-08-14T14:00:00+00:00,2022-08-14T18:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T14:30:00+00:00,29.76,mm/hr,0.10 deg,2022-08-14T14:30:00+00:00,2022-08-14T18:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T15:00:00+00:00,32.0,mm/hr,0.10 deg,2022-08-14T15:00:00+00:00,2022-08-14T19:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T15:30:00+00:00,32.0,mm/hr,0.10 deg,2022-08-14T15:30:00+00:00,2022-08-14T19:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T16:00:00+00:00,32.41,mm/hr,0.10 deg,2022-08-14T16:00:00+00:00,2022-08-14T20:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T16:30:00+00:00,32.41,mm/hr,0.10 deg,2022-08-14T16:30:00+00:00,2022-08-14T20:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T17:00:00+00:00,30.89,mm/hr,0.10 deg,2022-08-14T17:00:00+00:00,2022-08-14T21:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T17:30:00+00:00,30.89,mm/hr,0.10 deg,2022-08-14T17:30:00+00:00,2022-08-14T21:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T18:00:00+00:00,27.8,mm/hr,0.10 deg,2022-08-14T18:00:00+00:00,2022-08-14T22:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-14T18:30:00+00:00,27.8,mm/hr,0.10 deg,2022-08-14T18:30:00+00:00,2022-08-14T22:30:00+00:00,GOOD
